variant,method,method_label,num_seeds,total_penalty_mean,total_penalty_std,queue_backlog_mean,queue_backlog_std,aoi_violation_mean,aoi_violation_std,uncertainty_violation_mean,uncertainty_violation_std,mean_virtual_aoi_queue_mean,mean_virtual_aoi_queue_std,mean_virtual_unc_queue_mean,mean_virtual_unc_queue_std,travel_distance_mean,travel_distance_std,solver_success_mean,solver_success_std,solver_nit_mean,solver_nit_std,runtime_ms_mean,runtime_ms_std,candidate_family_size_mean,candidate_family_size_std
V96_rho0p005_sl8,proposed_full,DCEE-V96_rho0p005_sl8,3,1.8966368475072104,0.06038663308076021,154.17867412749317,69.80640170959263,11.326666666666668,0.7640753307829742,1.9932091736992203,0.36043863876201754,518.6255555555556,36.58911136349685,82.34329798215454,12.337152051634249,7.603052428048812,0.41436870825162375,1.0,0.0,37.75666666666667,1.8643586922406692,119.09586466647549,6.847343252713938,7.053333333333334,0.030550504633039155
V96_rho0p0025_sl6,proposed_full,DCEE-V96_rho0p0025_sl6,3,1.898349349229787,0.060825282167404425,135.12023453814126,59.593251034274886,11.453333333333333,0.9529311505968187,2.0319309597106345,0.3166669784797262,527.798888888889,44.58791519550432,83.2091899442989,11.718853764117021,7.598595778809984,0.35860150566132615,1.0,0.0,37.13333333333333,2.8662228338587585,114.57825733343877,13.54214709110947,5.05,0.04358898943540682
V96_rho0p0025_sl4,proposed_full,DCEE-V96_rho0p0025_sl4,3,1.9007144470609443,0.07024405837964434,140.02565457118143,79.37518410803436,11.453333333333333,0.9529311505968187,2.025456865457255,0.3284668827330627,527.798888888889,44.58791519550432,82.7834699604028,12.089876224075804,7.419566828747178,0.28514579224176223,1.0,0.0,31.0,7.090310289402008,96.20404366663327,22.451518567510483,3.0500000000000003,0.043588989435406726
V96_rho0p005_sl6,proposed_full,DCEE-V96_rho0p005_sl6,3,1.9021345524296656,0.05143813546486739,144.99447550631058,64.31305614510369,11.326666666666668,0.7640753307829742,1.9945676174454288,0.36407507635769426,518.6255555555556,36.58911136349685,82.2905253230454,12.539353352448972,7.65677812113915,0.5722023567608692,1.0,0.0,34.59,3.5029844418723877,109.44757199991727,10.050100335880591,5.056666666666667,0.032145502536643514
V96_rho0p01_sl8,proposed_full,DCEE-V96_rho0p01_sl8,3,1.905161225314125,0.0548410319193876,132.17017522963428,49.52607947923718,11.326666666666668,0.7640753307829742,1.987332146347317,0.37473336181294703,518.6255555555556,36.58911136349685,82.37754505671593,12.939698331708959,7.753469238384501,0.8532093051009356,1.0,0.0,38.75333333333334,0.26312227829154416,128.87799299991457,3.67758663860933,7.026666666666666,0.05033222956847153
V96_rho0p01_sl4,proposed_full,DCEE-V96_rho0p01_sl4,3,1.9073294593659023,0.04998621097453189,154.98531122231353,78.82250754879088,11.453333333333333,0.9529311505968187,2.0084542472820845,0.3213301090508736,527.798888888889,44.58791519550432,82.49988522690673,11.99351885574991,7.625301199668272,0.2429515996351588,1.0,0.0,31.47,0.16643316977093225,102.81900699990122,2.259603645739664,3.033333333333333,0.04163331998932269
V96_rho0p01_sl6,proposed_full,DCEE-V96_rho0p01_sl6,3,1.9085661272166943,0.061758984529440814,131.08360095310616,51.33241166115416,11.326666666666668,0.7640753307829742,1.9926910617608709,0.3723059853978275,518.6255555555556,36.58911136349685,82.42568679467274,13.111496342349977,7.537166962850872,0.24957484705282396,1.0,0.0,36.79666666666667,2.8031470409761488,120.8250676667376,7.084423409801603,5.033333333333333,0.041633319989322765
V96_rho0p005_sl4,proposed_full,DCEE-V96_rho0p005_sl4,3,1.910941635552791,0.060193738270091696,136.4599473841185,69.55745388482634,11.611111111111109,0.7387251280515738,1.9951149438371676,0.3057813478622024,529.3055555555557,42.01650632434475,82.29864968272521,12.267462737859647,7.4757131346002685,0.3110769552089597,1.0,0.0,33.53333333333334,6.99218373137701,106.4044113332299,22.90478069699246,3.0566666666666666,0.03214550253664317
V96_rho0p0025_sl8,proposed_full,DCEE-V96_rho0p0025_sl8,3,1.9134259473580248,0.05729769046908112,130.21121325913992,51.495441876529384,11.611111111111109,0.7387251280515738,1.9982968358546296,0.28072328126242374,529.3055555555557,42.01650632434475,82.8229977576696,12.049851576251077,7.678477845833949,0.32074739570761895,1.0,0.0,37.653333333333336,7.236382613801824,118.06709133350523,23.869515013360594,7.05,0.04358898943540682
V64_rho0p005_sl4,proposed_full,DCEE-V64_rho0p005_sl4,3,1.972115462273462,0.0073445524959482224,159.04867851084057,62.85181390281557,11.523333333333333,0.5741950887982239,1.9124561931344246,0.2607355049758453,511.97555555555556,19.403860536081623,78.5180374469882,11.016827615873057,7.884516838185213,0.30776092095189256,1.0,0.0,28.146666666666665,2.8150725271888346,86.64481733321736,8.914544312537217,3.06,0.055677643628300154
V64_rho0p01_sl4,proposed_full,DCEE-V64_rho0p01_sl4,3,1.9758187732244907,0.010012056475700859,167.4898606564206,64.67420981752304,11.523333333333333,0.5741950887982239,1.9007091748605263,0.2730277114022416,511.97555555555556,19.403860536081623,78.44340726943979,11.010486428168683,8.024509693156665,0.2506540654847302,1.0,0.0,28.21666666666667,3.1010535844021354,91.38286433311198,8.976649394021491,3.03,0.034641016151377574
V64_rho0p005_sl8,proposed_full,DCEE-V64_rho0p005_sl8,3,1.9769349783679775,0.0019596071425488394,162.25242754992124,62.48076189676778,11.154444444444444,0.8336688213575595,1.9503854242332983,0.2585652046355255,497.58666666666676,30.755544938180588,79.56064960192693,10.798924141786566,7.988948260128048,0.2829299320395857,1.0,0.0,41.31,4.473354446050528,129.20114699964566,16.761926191605035,7.053333333333334,0.04725815626252608
V64_rho0p005_sl6,proposed_full,DCEE-V64_rho0p005_sl6,3,1.9775987226570537,0.003691097981513684,155.54525012523868,62.44763773723852,11.354444444444445,0.8510799240006985,1.9392069521113866,0.2546790236217965,502.02000000000004,28.13344174544676,79.33928678143673,10.50776938122368,8.007200995682789,0.3743019930351745,1.0,0.0,36.02333333333333,6.853388456328252,112.77668833325151,23.025276252382557,5.06,0.05567764362830039
V64_rho0p01_sl6,proposed_full,DCEE-V64_rho0p01_sl6,3,1.9784913941152629,0.005717541466174078,162.21041585301933,61.546138512681374,11.523333333333333,0.5741950887982239,1.8963038181402894,0.2846788213372682,511.97555555555556,19.403860536081623,78.37196660270604,11.182787466065715,8.140776657975477,0.12229144340740704,1.0,0.0,31.679999999999996,4.942671342502961,101.02281400004965,16.083829367431235,5.033333333333333,0.032145502536643514
V64_rho0p0025_sl8,proposed_full,DCEE-V64_rho0p0025_sl8,3,1.9785278036829979,0.008197538916203244,150.57524214060746,65.61698119966611,11.154444444444444,0.8336688213575595,1.9208971761999933,0.2964013700717401,497.58666666666676,30.755544938180588,79.29005709460262,10.926765506119464,8.203971559571663,0.17750903522331685,1.0,0.0,38.26,0.47655010229775585,118.15318633300194,3.7665377726835043,7.0200000000000005,0.04358898943540682
V64_rho0p01_sl8,proposed_full,DCEE-V64_rho0p01_sl8,3,1.978534065343711,0.007220436130966871,158.32389682114396,62.39250858497335,11.523333333333333,0.5741950887982239,1.8971124494054408,0.28312525635519503,511.97555555555556,19.403860536081623,78.65696746452794,11.117431276629882,8.19730883375257,0.23689894467789746,1.0,0.0,36.01,3.4455333404278647,114.7840276669255,10.173073964925242,7.03,0.03464101615137783
V64_rho0p0025_sl6,proposed_full,DCEE-V64_rho0p0025_sl6,3,1.9794500924197642,0.005193726544185344,157.27373897577488,66.86360572940526,11.523333333333333,0.5741950887982239,1.9077202223866692,0.27126822752700985,511.97555555555556,19.403860536081623,78.82932238146111,10.907178687020227,8.138739446479295,0.15136973720820177,1.0,0.0,30.66,3.3255525856615176,95.18878133324809,8.9918246716009,5.023333333333333,0.04041451884327397
V64_rho0p0025_sl4,proposed_full,DCEE-V64_rho0p0025_sl4,3,1.9811862170059378,0.0108839435875685,158.14757215179438,63.04101635281089,11.354444444444445,0.8510799240006985,1.9133765764600765,0.29507554423289234,502.02000000000004,28.13344174544676,78.92139593197321,10.813763253841023,8.304561034264895,0.4443262638846144,1.0,0.0,28.096666666666668,0.9557370628647471,88.11328233321547,2.411524255211996,3.0233333333333334,0.04041451884327371
V48_rho0p005_sl6,proposed_full,DCEE-V48_rho0p005_sl6,3,2.0203014016253733,0.01814031514456078,173.83631070076362,73.0092580054733,11.321111111111113,0.899767459670264,1.8897312006131546,0.3004870356155214,497.82444444444445,33.18420530134003,78.08266445205413,10.853877230221613,8.00639081900803,0.4557594278018882,1.0,0.0,32.25666666666667,5.027020323544888,102.15444933351439,15.461750827077744,5.026666666666666,0.037859388972002035
V48_rho0p0025_sl4,proposed_full,DCEE-V48_rho0p0025_sl4,3,2.021419707154676,0.010753790095358087,176.81207842589447,49.770324093665494,11.354444444444445,0.8510799240006985,1.8941364047774705,0.30533834423458733,502.02000000000004,28.13344174544676,77.77085435610871,11.37541117779206,8.168228531953813,0.13383126612395327,1.0,0.0,24.506666666666664,2.9243859754371235,73.98875133343002,5.966647996689405,3.043333333333333,0.03785938897200178
V48_rho0p01_sl8,proposed_full,DCEE-V48_rho0p01_sl8,3,2.021453754505547,0.010586762257551908,173.10020086104473,71.21888061779774,11.351111111111111,0.8496360876760592,1.8906403194477714,0.2854946984835211,501.498888888889,28.3465119024729,77.81800152831467,10.840930656801364,8.174816862513543,0.11199821092779243,1.0,0.0,37.693333333333335,4.420965203813909,119.55798700005592,12.556963891398365,7.023333333333333,0.041633319989322765
V48_rho0p005_sl4,proposed_full,DCEE-V48_rho0p005_sl4,3,2.02271642129513,0.02040732452087237,164.79728111131377,61.08432139588049,11.324444444444445,0.9012974187453522,1.8945442209830554,0.3054236713218179,498.3455555555556,33.08929842668734,78.49717078224944,10.703874564481612,8.183585363970222,0.6332191085800454,1.0,0.0,28.62,3.4480574241157886,90.1369433333457,9.320021093672718,3.026666666666667,0.03785938897200178
V48_rho0p0025_sl8,proposed_full,DCEE-V48_rho0p0025_sl8,3,2.0246208702347186,0.01706365889444348,169.33458430054364,67.18961784285324,11.351111111111111,0.8496360876760592,1.8860276575167758,0.30093988754658485,501.498888888889,28.3465119024729,77.44564706911768,11.211105647090477,8.179784998368353,0.3294264064825675,1.0,0.0,34.20666666666667,3.8720192836985365,104.63806566675582,8.710481200548234,7.039999999999999,0.04358898943540662
V48_rho0p01_sl4,proposed_full,DCEE-V48_rho0p01_sl4,3,2.0260169974874676,0.010136770074309484,176.15413706268717,56.84864421969068,11.354444444444445,0.8510799240006985,1.894866131521156,0.29865963286762537,502.02000000000004,28.13344174544676,77.7403721728961,11.401620896000095,8.387109192415108,0.2834243991167969,1.0,0.0,29.00333333333333,4.571283554247464,94.03158800009503,16.45109380949039,3.026666666666667,0.03785938897200178
V48_rho0p005_sl8,proposed_full,DCEE-V48_rho0p005_sl8,3,2.0291227634193825,0.003372519221876305,178.14197212353076,65.06682514057668,11.351111111111111,0.8496360876760592,1.870472627935017,0.2774695103352069,501.498888888889,28.3465119024729,76.4902367823121,11.68027925152382,8.282571654579133,0.20932864284061825,1.0,0.0,38.21,5.335700516333355,121.98202366656915,16.990218795286413,7.026666666666666,0.037859388972002035
V48_rho0p01_sl6,proposed_full,DCEE-V48_rho0p01_sl6,3,2.029130735439083,0.006448213933077597,171.49466591106318,59.65861596043193,11.351111111111111,0.8496360876760592,1.8981973980504225,0.29183627388320155,501.498888888889,28.3465119024729,77.95991587603629,11.192165238614022,8.419581341897716,0.3066613462866887,1.0,0.0,34.92333333333333,4.851353762954557,111.45386399999552,12.923100505952336,5.026666666666666,0.037859388972002035
V48_rho0p0025_sl6,proposed_full,DCEE-V48_rho0p0025_sl6,3,2.0344987924455133,0.01854007720407957,163.48531166091996,62.905280121791016,11.151111111111112,0.6484968374233971,1.7356567985341353,0.5674815559121187,493.8988888888889,16.047286490360342,69.89082367690327,22.57221351930107,8.670204135560573,0.4919696160441185,1.0,0.0,31.840000000000003,3.345011210743547,98.15595533354401,6.239640311663764,5.043333333333333,0.03785938897200184
V32_rho0p0025_sl8,proposed_full,DCEE-V32_rho0p0025_sl8,3,2.0703608442732495,0.029323149212981434,189.48052446288338,57.16556557133977,10.892222222222223,0.5288281944632477,1.7097219754059634,0.5938454913567662,482.9722222222222,16.586225990037374,68.93766239515197,23.570465503356964,8.428136157068321,0.8094164111718205,1.0,0.0,38.37,3.8563843169476786,122.41649966648158,8.270987718864099,7.06,0.010000000000000231
V32_rho0p0025_sl6,proposed_full,DCEE-V32_rho0p0025_sl6,3,2.0722063880165686,0.026029614807404282,180.83873586774249,55.92234043978963,11.092222222222224,0.6828806088372433,1.7087688037801756,0.5846154091814266,487.40555555555557,17.749986019817108,68.8528929940917,23.251768103222723,8.529802104742558,0.6246694527389024,1.0,0.0,31.350000000000005,5.8317493087409025,96.13350166713644,18.323134480384905,5.06,0.010000000000000231
V32_rho0p005_sl4,proposed_full,DCEE-V32_rho0p005_sl4,3,2.07358261647134,0.02791125567245758,178.31691924663474,67.57834395705882,10.888888888888891,0.5278081862584938,1.708020471368501,0.5725424601604091,482.45111111111106,16.67787134476673,69.10358733293664,22.82399223107403,8.610158106747795,0.7064949861926609,1.0,0.0,28.78,6.172454941107305,90.50616333321766,18.82879938002433,3.06,0.010000000000000009
V32_rho0p01_sl6,proposed_full,DCEE-V32_rho0p01_sl6,3,2.0754007934303327,0.04431621073018306,158.95860702385295,71.88332610368005,11.092222222222224,0.6828806088372433,1.7060244167392007,0.5798552572612544,487.40555555555557,17.749986019817108,68.90212840953451,23.107525478804664,8.319165397546277,0.9927437755421468,1.0,0.0,30.49333333333333,2.492114229591681,92.75347866661225,4.8117903991989746,5.04,0.03605551275463999
V32_rho0p005_sl6,proposed_full,DCEE-V32_rho0p005_sl6,3,2.0761113620062535,0.03578120438969177,181.33982630211344,69.99242611848034,10.892222222222223,0.5288281944632477,1.6981593547892964,0.5939634328800575,482.9722222222222,16.586225990037374,68.65309720700135,23.634726125720857,8.710513782691761,1.104916580806984,1.0,0.0,32.38666666666666,7.502948309387007,101.90506299989163,27.39764456685773,5.06,0.010000000000000231
V32_rho0p0025_sl4,proposed_full,DCEE-V32_rho0p0025_sl4,3,2.07672958715144,0.03154516629058118,163.65841670546024,62.68346450966878,11.08888888888889,0.6791525220067641,1.706284101283897,0.5839463328584692,486.8844444444444,17.442733390961067,69.05278871770584,23.177369215320113,8.823498290522929,0.8504931534437962,1.0,0.0,26.426666666666666,3.4697310174325224,80.74776299989026,11.729153478883205,3.06,0.010000000000000009
V32_rho0p005_sl8,proposed_full,DCEE-V32_rho0p005_sl8,3,2.080487854239513,0.020708997871204907,183.43835509759091,53.61913951255078,11.092222222222224,0.6828806088372433,1.7097822407751098,0.5890161677037543,487.40555555555557,17.749986019817108,68.93406743531835,23.4436008210485,8.48616994672354,0.741303832670159,1.0,0.0,37.29333333333333,7.026765495826179,116.100483333333,20.80953401833786,7.053333333333334,0.02081665999466124
V32_rho0p01_sl8,proposed_full,DCEE-V32_rho0p01_sl8,3,2.0807798703897533,0.03693514536477629,170.15094463753508,58.55273885762565,11.092222222222224,0.6828806088372433,1.7139714517666924,0.5782514935398617,487.40555555555557,17.749986019817108,69.19281494915317,22.977570782155166,8.603778766684643,0.621726228405195,1.0,0.0,37.20666666666667,4.382811122251716,116.1781823332664,14.088224378729658,7.033333333333334,0.04041451884327382
V32_rho0p01_sl4,proposed_full,DCEE-V32_rho0p01_sl4,3,2.081077949134795,0.043004061402758635,174.25031294303744,69.55290117843964,10.888888888888891,0.5278081862584938,1.704562165505786,0.5814649075186086,482.45111111111106,16.67787134476673,69.04545682888467,23.192302185078507,8.707553216906584,0.8230879949091184,1.0,0.0,29.406666666666666,3.9532307462799756,90.59731666638982,12.476848631897118,3.0400000000000005,0.0360555127546398
V24_rho0p01_sl8,proposed_full,DCEE-V24_rho0p01_sl8,3,2.109874624547925,0.021832496069081747,175.01269390044695,71.80931063279861,10.922222222222222,0.48016586640374465,1.682170739594653,0.5703300595262525,486.6466666666667,11.880957219199246,67.75657609273311,22.934337413754548,8.645041652887542,0.7200903748720817,1.0,0.0,35.88333333333333,7.126747738859102,106.64723366680846,19.491777799690766,7.02,0.03464101615137732
V24_rho0p0025_sl6,proposed_full,DCEE-V24_rho0p0025_sl6,3,2.1102991974175436,0.015537811981967853,180.2188413311848,67.96389418087618,10.892222222222223,0.5288281944632477,1.6869616977468025,0.5814693125576847,482.9722222222222,16.586225990037374,68.123204672532,23.162212420221344,8.769468666723034,0.8226758224832899,1.0,0.0,33.81,4.321492797633705,105.1072019997567,13.81207611418929,5.043333333333333,0.030550504633039155
V24_rho0p01_sl6,proposed_full,DCEE-V24_rho0p01_sl6,3,2.1133135107549577,0.025892242532367753,178.25375632812595,67.42493480772761,10.922222222222222,0.48016586640374465,1.68314508734637,0.572353673974581,486.6466666666667,11.880957219199246,67.69698326970483,23.017247207618407,8.83356801687857,0.887900366738751,1.0,0.0,32.623333333333335,3.5836061911618224,94.7559140001734,12.245840544440895,5.023333333333333,0.04041451884327397
V24_rho0p005_sl8,proposed_full,DCEE-V24_rho0p005_sl8,3,2.1136624707131193,0.017021798886511234,176.65334471813233,65.9969073963671,11.092222222222224,0.6828806088372433,1.6868490621879897,0.5855544499097962,487.40555555555557,17.749986019817108,68.15603069668605,23.234698889860212,8.904117153781947,0.8938598479309923,1.0,0.0,38.25666666666667,1.4165568584893893,116.58203233314755,3.917755428213379,7.02,0.03464101615137732
V24_rho0p0025_sl4,proposed_full,DCEE-V24_rho0p0025_sl4,3,2.1147919431472566,0.02395627020101742,179.1725213554488,67.87019309232927,10.892222222222223,0.5288281944632477,1.6756614914023675,0.5979058710473643,482.9722222222222,16.586225990037374,67.79501018106855,23.90968957403146,8.950795645957793,1.292007468207018,1.0,0.0,27.97666666666667,5.515073284493446,89.81588233315658,16.46375019063267,3.043333333333333,0.03055050463303896
V24_rho0p0025_sl8,proposed_full,DCEE-V24_rho0p0025_sl8,3,2.115583998349361,0.017629189599860637,174.30056696279937,59.45503370735949,11.092222222222224,0.6828806088372433,1.6785524732872747,0.6067980977105241,487.40555555555557,17.749986019817108,67.7193629380588,24.092692500829987,8.983316214117357,0.9495018812644889,1.0,0.0,38.086666666666666,4.567935346886311,118.21160666644573,15.82218013341002,7.036666666666666,0.023094010767585053
V24_rho0p01_sl4,proposed_full,DCEE-V24_rho0p01_sl4,3,2.1160562510947942,0.026899823475545957,179.48592076835908,67.60807440172138,10.922222222222222,0.48016586640374465,1.6761777139898821,0.582914166583992,486.6466666666667,11.880957219199246,67.65996596125471,23.49607165656997,8.92582288991026,0.8885330080103783,1.0,0.0,29.346666666666664,6.02578072396709,87.28343033340934,18.076886253397376,3.0233333333333334,0.04041451884327371
V24_rho0p005_sl6,proposed_full,DCEE-V24_rho0p005_sl6,3,2.116767078604511,0.018609915132477377,179.11649795316632,62.61438764000805,11.092222222222224,0.6828806088372433,1.6984596374476617,0.5736104628668524,487.40555555555557,17.749986019817108,68.4258645801573,22.87524661912706,9.071879661231895,0.8332683661615002,1.0,0.0,32.373333333333335,4.128078649121567,97.70397966671833,13.905186325087382,5.023333333333333,0.04041451884327397
V24_rho0p005_sl4,proposed_full,DCEE-V24_rho0p005_sl4,3,2.1202129956489038,0.020980878758233335,180.07648531220926,66.27042085648509,10.892222222222223,0.5288281944632477,1.6882929134811848,0.5915323076470239,482.9722222222222,16.586225990037374,68.27860422315528,23.57377286119471,9.219811980211835,0.9850668667261026,1.0,0.0,28.169999999999998,1.429160592795645,84.75362433326761,2.041742105248955,3.0233333333333334,0.04041451884327371
